"symbol","name","price"
"CCATC.BA","CATERPILLAR INC CEDEAR EA 20 RE","37.64"
"CCATD.BA","Caterpillar Inc.","40.26"
"CCCL.BA","CARNIVAL CORP CEDEAR EACH 3 REP","15,680.00"
"CCCLD.BA","Carnival Corporation & plc","10.88"
"CCEG.BA","Constellation Energy Corporation","9,565.00"
"CCEGD.BA","CONSTELLATION ENERGY CORPORATIO","6.77"
"CCEPUC.BA","CENTRAL PUERTO SA","1.55"
"CCEPUD.BA","Central Puerto S.A.","1.61"
"CCIBR.BA","FIRST TRUST EXCH TRADED FUND 2","9,880.00"
"CCIBRD.BA","FIRST TRUST EXCH TRADED FUND 2","7.04"
"CCICAD.BA","--","102.00"
"CCICAO.BA","--","147,200.00"
"CCICBD.BA","--","100.00"
"CCICBO.BA","--","143,900.00"
"CCLD.BA","Colgate-Palmolive Company","33.00"
"CCLI1D.BA","--","29.50"
"CCLI1O.BA","--","43,300.00"
"CCLS.BA","Celestica Inc.","20,540.00"
"CCLSD.BA","CELESTICA INC CEDEAR EACH  20 R","14.80"
"CCO32.BA","--","155,000.00"
"CCO32C.BA","--","101.00"
"CCO32D.BA","--","108.65"
"CCO35.BA","--","145,740.00"
"CCO35C.BA","--","98.54"
"CCO35D.BA","--","101.90"
"CCO35X.BA","--","144,474.27"
"CCOINC.BA","COINBASE GLOBAL INC CED EACH 2","6.11"
"CCOIND.BA","Coinbase Global, Inc.","6.38"
"CCOMED.BA","Sociedad Comercial del Plata S.A.","0.03"
"CCOPX.BA","Banco Comafi S.A.","9,215.00"
"CCOPXD.BA","Banco Comafi S.A.","6.63"
"CCOSTC.BA","COSTCO WHOLESALE CORP CEDEAR EA","20.50"
"CCOSTD.BA","Costco Wholesale Corporation","22.00"
"CCRE3W.BA","CRESUD S.A.C.I.F.Y.A.","1,720.00"
"CCRESD.BA","CRESUD S.A.C.I.F.Y.A.","1.23"
"CCRMD.BA","Salesforce, Inc.","10.95"
"CCRWV.BA","CoreWeave, Inc.","5,205.00"
"CCRWVD.BA","COREWEAVE INC CEDEAR EACH 27 RE","3.38"
"CCS48C.BA","--","105.00"
"CCS48D.BA","--","105.00"
"CCS48O.BA","--","149,750.00"
"CCS49D.BA","--","106.30"
"CCS49O.BA","--","154,900.00"
"CCS50D.BA","--","103.90"
"CCS50O.BA","--","147,030.00"
"CCS51D.BA","--","100.05"
"CCS51O.BA","--","142,100.00"
"CCSCOD.BA","Cisco Systems, Inc.","16.09"
"CCVHC.BA","CABLEVISION HOLDING SA","5.16"
"CCVHD.BA","CABLEVISION HOLDING SA","5.41"
